# Motion State
# Angle Units : degrees
# Time        	centreOfRotation	centreOfMass	rotation	velocity	omega
0.002         	(0.000000e+00 1.000000e-02 0.000000e+00)	(0.000000e+00 1.000000e-02 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 5.000000e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.004         	(0.000000e+00 1.999961e-02 0.000000e+00)	(0.000000e+00 1.999961e-02 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.999605e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.006         	(0.000000e+00 2.999763e-02 0.000000e+00)	(0.000000e+00 2.999763e-02 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.998421e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.008         	(0.000000e+00 3.999250e-02 0.000000e+00)	(0.000000e+00 3.999250e-02 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.996447e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.01          	(0.000000e+00 4.998263e-02 0.000000e+00)	(0.000000e+00 4.998263e-02 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.993684e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.012         	(0.000000e+00 5.996645e-02 0.000000e+00)	(0.000000e+00 5.996645e-02 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.990132e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.014         	(0.000000e+00 6.994237e-02 0.000000e+00)	(0.000000e+00 6.994237e-02 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.985791e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.016         	(0.000000e+00 7.990882e-02 0.000000e+00)	(0.000000e+00 7.990882e-02 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.980663e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.018         	(0.000000e+00 8.986423e-02 0.000000e+00)	(0.000000e+00 8.986423e-02 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.974747e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.02          	(0.000000e+00 9.980702e-02 0.000000e+00)	(0.000000e+00 9.980702e-02 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.968044e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.022         	(0.000000e+00 1.097356e-01 0.000000e+00)	(0.000000e+00 1.097356e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.960557e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.024         	(0.000000e+00 1.196485e-01 0.000000e+00)	(0.000000e+00 1.196485e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.952284e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.026         	(0.000000e+00 1.295440e-01 0.000000e+00)	(0.000000e+00 1.295440e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.943228e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.028         	(0.000000e+00 1.394206e-01 0.000000e+00)	(0.000000e+00 1.394206e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.933391e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.03          	(0.000000e+00 1.492768e-01 0.000000e+00)	(0.000000e+00 1.492768e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.922772e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.032         	(0.000000e+00 1.591109e-01 0.000000e+00)	(0.000000e+00 1.591109e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.911375e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.034         	(0.000000e+00 1.689215e-01 0.000000e+00)	(0.000000e+00 1.689215e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.899200e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.036         	(0.000000e+00 1.787069e-01 0.000000e+00)	(0.000000e+00 1.787069e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.886250e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.038         	(0.000000e+00 1.884657e-01 0.000000e+00)	(0.000000e+00 1.884657e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.872526e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.04          	(0.000000e+00 1.981963e-01 0.000000e+00)	(0.000000e+00 1.981963e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.858031e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.042         	(0.000000e+00 2.078971e-01 0.000000e+00)	(0.000000e+00 2.078971e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.842766e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.044         	(0.000000e+00 2.175666e-01 0.000000e+00)	(0.000000e+00 2.175666e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.826734e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.046         	(0.000000e+00 2.272032e-01 0.000000e+00)	(0.000000e+00 2.272032e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.809938e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.048         	(0.000000e+00 2.368056e-01 0.000000e+00)	(0.000000e+00 2.368056e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.792379e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.05          	(0.000000e+00 2.463720e-01 0.000000e+00)	(0.000000e+00 2.463720e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.774060e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
