# Motion State
# Angle Units : degrees
# Time        	centreOfRotation	centreOfMass	rotation	velocity	omega
0.002         	(0.000000e+00 1.000000e-02 0.000000e+00)	(0.000000e+00 1.000000e-02 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.999605e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.004         	(0.000000e+00 1.999842e-02 0.000000e+00)	(0.000000e+00 1.999842e-02 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.998421e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.006         	(0.000000e+00 2.999368e-02 0.000000e+00)	(0.000000e+00 2.999368e-02 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.996447e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.008         	(0.000000e+00 3.998421e-02 0.000000e+00)	(0.000000e+00 3.998421e-02 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.993685e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.01          	(0.000000e+00 4.996842e-02 0.000000e+00)	(0.000000e+00 4.996842e-02 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.990134e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.012         	(0.000000e+00 5.994474e-02 0.000000e+00)	(0.000000e+00 5.994474e-02 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.985794e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.014         	(0.000000e+00 6.991160e-02 0.000000e+00)	(0.000000e+00 6.991160e-02 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.980668e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.016         	(0.000000e+00 7.986742e-02 0.000000e+00)	(0.000000e+00 7.986742e-02 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.974755e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.018         	(0.000000e+00 8.981062e-02 0.000000e+00)	(0.000000e+00 8.981062e-02 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.968056e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.02          	(0.000000e+00 9.973964e-02 0.000000e+00)	(0.000000e+00 9.973964e-02 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.960573e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.022         	(0.000000e+00 1.096529e-01 0.000000e+00)	(0.000000e+00 1.096529e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.952307e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.024         	(0.000000e+00 1.195489e-01 0.000000e+00)	(0.000000e+00 1.195489e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.943258e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.026         	(0.000000e+00 1.294259e-01 0.000000e+00)	(0.000000e+00 1.294259e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.933429e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
