# Motion State
# Angle Units : degrees
# Time        	centreOfRotation	centreOfMass	rotation	velocity	omega
0.024         	(0.000000e+00 1.195465e-01 0.000000e+00)	(0.000000e+00 1.195465e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.943259e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.025         	(0.000000e+00 1.244874e-01 0.000000e+00)	(0.000000e+00 1.244874e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.938442e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.026         	(0.000000e+00 1.294234e-01 0.000000e+00)	(0.000000e+00 1.294234e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.933430e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.027         	(0.000000e+00 1.343543e-01 0.000000e+00)	(0.000000e+00 1.343543e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.928223e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.028         	(0.000000e+00 1.392798e-01 0.000000e+00)	(0.000000e+00 1.392798e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.922821e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.029         	(0.000000e+00 1.441999e-01 0.000000e+00)	(0.000000e+00 1.441999e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.917226e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.03          	(0.000000e+00 1.491143e-01 0.000000e+00)	(0.000000e+00 1.491143e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.911436e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.031         	(0.000000e+00 1.540228e-01 0.000000e+00)	(0.000000e+00 1.540228e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.905452e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.032         	(0.000000e+00 1.589252e-01 0.000000e+00)	(0.000000e+00 1.589252e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.899275e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.033         	(0.000000e+00 1.638213e-01 0.000000e+00)	(0.000000e+00 1.638213e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.892904e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.034         	(0.000000e+00 1.687110e-01 0.000000e+00)	(0.000000e+00 1.687110e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.886340e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
