# Motion State
# Angle Units : degrees
# Time        	centreOfRotation	centreOfMass	rotation	velocity	omega
0.024         	(0.000000e+00 1.195997e-01 0.000000e+00)	(0.000000e+00 1.195997e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.947866e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.025         	(0.000000e+00 1.245452e-01 0.000000e+00)	(0.000000e+00 1.245452e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.943242e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.026         	(0.000000e+00 1.294861e-01 0.000000e+00)	(0.000000e+00 1.294861e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.938423e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.027         	(0.000000e+00 1.344220e-01 0.000000e+00)	(0.000000e+00 1.344220e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.933409e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.028         	(0.000000e+00 1.393528e-01 0.000000e+00)	(0.000000e+00 1.393528e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.928199e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.029         	(0.000000e+00 1.442783e-01 0.000000e+00)	(0.000000e+00 1.442783e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.922795e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.03          	(0.000000e+00 1.491983e-01 0.000000e+00)	(0.000000e+00 1.491983e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.917197e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.031         	(0.000000e+00 1.541126e-01 0.000000e+00)	(0.000000e+00 1.541126e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.911404e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.032         	(0.000000e+00 1.590210e-01 0.000000e+00)	(0.000000e+00 1.590210e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.905416e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.033         	(0.000000e+00 1.639233e-01 0.000000e+00)	(0.000000e+00 1.639233e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.899235e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.034         	(0.000000e+00 1.688194e-01 0.000000e+00)	(0.000000e+00 1.688194e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.892861e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.035         	(0.000000e+00 1.737089e-01 0.000000e+00)	(0.000000e+00 1.737089e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.886293e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.036         	(0.000000e+00 1.785919e-01 0.000000e+00)	(0.000000e+00 1.785919e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.879531e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.037         	(0.000000e+00 1.834679e-01 0.000000e+00)	(0.000000e+00 1.834679e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.872577e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.038         	(0.000000e+00 1.883369e-01 0.000000e+00)	(0.000000e+00 1.883369e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.865431e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
